iso3,name,region,pop_1019_millions,pop_source,pop_tier,life,future,toi,toi_low,toi_high,health,mental,safety,living,education,economic,digital,rank,country_pct,pop_pct
ESP,Spain,Europe,4.5,UN WPP 2024 (order-of-magnitude estimate),B,92.3,83.9,88.1,84.0,90.8,98.7,75.9,99.6,100.0,91.4,63.7,95.2,25,80.6,79.5
ITA,Italy,Europe,5.5,UN WPP 2024 (order-of-magnitude estimate),B,93.7,80.8,87.3,83.3,90.1,99.2,79.9,100.0,100.0,91.8,62.5,80.9,27,79.0,78.7
KOR,South Korea,East Asia,4.4,UN WPP 2024 (order-of-magnitude estimate),B,82.0,92.6,87.3,84.1,90.1,99.3,40.8,99.8,100.0,100.0,78.0,96.1,26,79.8,79.1
FRA,France,Europe,8.0,UN WPP 2024 (order-of-magnitude estimate),B,88.3,86.1,87.2,83.2,89.2,97.4,64.9,98.7,100.0,92.1,78.5,82.7,28,78.2,78.2
PRT,Portugal,Europe,1.0,UN WPP 2024 (order-of-magnitude estimate),B,87.1,86.2,86.7,82.8,89.8,98.1,59.7,99.3,100.0,93.7,78.3,79.5,29,77.4,77.8
HUN,Hungary,Europe,0.95,UN WPP 2024 (order-of-magnitude estimate),B,84.1,88.2,86.1,82.4,89.5,94.6,53.8,98.5,100.0,93.2,83.1,83.2,30,76.6,77.7
GRC,Greece,Europe,1.0,UN WPP 2024 (order-of-magnitude estimate),B,93.0,78.2,85.6,81.8,89.2,98.2,79.4,99.1,100.0,87.0,63.5,78.1,31,75.8,77.7
KAZ,Kazakhstan,Central Asia,2.8,UN WPP 2024 (order-of-magnitude estimate),B,77.1,93.8,85.5,81.5,87.2,88.6,47.8,88.5,96.0,98.7,92.9,83.2,32,75.0,77.5
HRV,Croatia,Europe,0.37,UN WPP 2024 (order-of-magnitude estimate),B,87.5,83.0,85.3,81.5,88.4,97.3,62.7,98.9,99.0,90.3,76.2,74.8,33,74.2,77.4
MYS,Malaysia,Southeast Asia,5.0,UN WPP 2024 (order-of-magnitude estimate),B,84.2,84.0,84.1,80.2,87.5,82.5,76.6,89.2,97.0,81.1,78.9,98.9,34,73.4,77.2
BLR,Belarus,Europe,0.95,UN WPP 2024 (order-of-magnitude estimate),B,76.3,91.4,83.9,79.8,87.0,96.7,29.9,95.3,98.0,97.7,87.4,81.8,35,72.6,76.9
RUS,Russia,Europe,15.0,UN WPP 2024 (order-of-magnitude estimate),B,75.1,90.3,82.7,79.4,85.8,94.3,36.9,87.0,97.0,98.4,78.9,86.9,36,71.8,76.3
SAU,Saudi Arabia,Middle East,4.5,UN WPP 2024 (order-of-magnitude estimate),B,94.6,70.2,82.4,78.3,84.7,95.0,90.4,96.8,100.0,69.2,54.7,96.1,37,71.0,75.5
SRB,Serbia,Europe,0.65,UN WPP 2024 (order-of-magnitude estimate),B,85.5,79.1,82.3,78.3,85.5,93.2,66.4,93.7,95.0,92.1,61.5,73.0,38,70.2,75.3
UZB,Uzbekistan,Central Asia,6.5,UN WPP 2024 (order-of-magnitude estimate),B,86.1,77.5,81.8,77.5,85.6,84.0,73.7,96.5,98.0,82.6,74.6,69.3,40,68.5,73.9
VNM,Vietnam,Southeast Asia,14.0,UN WPP 2024 (order-of-magnitude estimate),B,79.1,84.5,81.8,77.9,85.3,72.1,73.1,86.2,97.0,90.2,83.8,71.1,39,69.4,74.7
BGR,Bulgaria,Europe,0.65,UN WPP 2024 (order-of-magnitude estimate),B,82.4,79.3,80.9,77.3,84.4,84.6,60.8,96.3,99.0,84.8,70.6,78.5,42,66.9,73.4
ROU,Romania,Europe,1.9,UN WPP 2024 (order-of-magnitude estimate),B,85.8,76.0,80.9,76.8,83.4,85.4,72.4,95.6,98.0,82.5,60.5,83.2,41,67.7,73.5
CHL,Chile,Latin America,2.5,UN WPP 2024 (order-of-magnitude estimate),B,83.8,76.0,79.9,75.8,82.7,93.5,68.6,83.9,100.0,79.2,62.0,88.7,43,66.1,73.3
THA,Thailand,Southeast Asia,8.0,UN WPP 2024 (order-of-magnitude estimate),B,79.0,79.8,79.4,75.5,82.9,82.0,69.6,78.2,100.0,75.5,81.5,87.7,44,65.3,72.9
AZE,Azerbaijan,Central Asia,1.3,UN WPP 2024 (order-of-magnitude estimate),B,79.9,72.6,76.2,72.5,79.9,74.4,74.6,85.3,96.0,84.0,50.8,76.7,45,64.5,72.5
ARM,Armenia,Central Asia,0.36,UN WPP 2024 (order-of-magnitude estimate),B,84.2,67.5,75.9,72.3,79.6,86.4,69.4,92.2,98.0,87.1,33.7,69.3,46,63.7,72.4
TUR,Turkey,Middle East,12.0,UN WPP 2024 (order-of-magnitude estimate),B,81.7,68.9,75.3,71.7,78.8,90.1,65.5,83.6,99.0,78.4,47.0,77.6,47,62.9,71.9
GEO,Georgia,Central Asia,0.45,UN WPP 2024 (order-of-magnitude estimate),B,80.5,69.0,74.8,71.4,78.3,87.9,61.4,86.5,98.0,85.1,39.7,73.0,48,62.1,71.4
ARG,Argentina,Latin America,7.0,UN WPP 2024 (order-of-magnitude estimate),B,80.8,68.0,74.4,70.5,77.5,85.2,72.3,79.0,99.0,68.6,58.1,81.4,49,61.3,71.1
CUB,Cuba,Latin America,1.1,UN WPP 2024 (order-of-magnitude estimate),B,66.9,81.8,74.3,70.9,77.8,83.2,38.7,68.8,97.0,93.0,80.1,56.3,50,60.5,70.8
UKR,Ukraine,Europe,4.0,UN WPP 2024 (order-of-magnitude estimate),B,70.2,77.0,73.6,70.3,76.9,92.4,21.7,87.9,96.0,87.6,64.5,69.3,51,59.7,70.6
CRI,Costa Rica,Latin America,0.7,UN WPP 2024 (order-of-magnitude estimate),B,79.9,66.4,73.1,69.0,75.4,83.6,83.1,66.4,100.0,68.0,57.4,75.8,52,58.9,70.4
MNG,Mongolia,East Asia,0.5,UN WPP 2024 (order-of-magnitude estimate),B,69.1,76.7,72.9,69.0,76.8,84.5,50.5,66.7,86.0,78.4,70.8,81.3,53,58.1,70.3
IRN,Iran,Middle East,11.0,UN WPP 2024 (order-of-magnitude estimate),B,79.4,62.5,71.0,67.5,74.5,87.2,63.1,82.9,95.0,75.1,37.8,68.3,54,57.3,69.9
IDN,Indonesia,Southeast Asia,45.0,UN WPP 2024 (order-of-magnitude estimate),B,78.4,63.4,70.9,67.0,74.8,63.9,79.4,87.3,92.0,66.9,48.7,76.6,55,56.5,67.6
JAM,Jamaica,Latin America,0.4,UN WPP 2024 (order-of-magnitude estimate),B,76.7,63.2,69.9,65.4,73.3,81.8,89.2,52.7,95.7,71.6,48.6,63.8,56,55.6,65.8
PER,Peru,Latin America,5.5,UN WPP 2024 (order-of-magnitude estimate),B,72.6,67.1,69.8,66.1,73.5,76.5,70.9,64.4,90.5,72.2,63.9,59.1,57,54.8,65.6
PHL,Philippines,Southeast Asia,22.0,UN WPP 2024 (order-of-magnitude estimate),B,75.2,64.0,69.6,65.8,72.8,61.1,84.4,74.6,92.1,61.0,73.6,57.2,58,54.0,64.4
MEX,Mexico,Latin America,21.0,UN WPP 2024 (order-of-magnitude estimate),B,70.6,68.0,69.3,65.1,71.4,74.8,85.0,42.6,99.0,69.8,62.7,71.1,59,53.2,62.7
KGZ,Kyrgyzstan,Central Asia,1.4,UN WPP 2024 (order-of-magnitude estimate),B,72.1,65.1,68.6,64.8,72.4,79.5,61.1,68.6,93.0,69.1,56.9,67.4,60,52.4,61.8
TUN,Tunisia,Africa,1.6,UN WPP 2024 (order-of-magnitude estimate),B,85.1,51.8,68.5,65.1,71.8,88.4,70.5,92.8,96.0,60.6,26.1,68.3,61,51.6,61.7
URY,Uruguay,Latin America,0.5,UN WPP 2024 (order-of-magnitude estimate),B,67.6,68.9,68.3,64.2,71.1,87.8,44.9,59.6,99.0,69.1,57.9,85.0,62,50.8,61.6
LKA,Sri Lanka,South Asia,2.7,UN WPP 2024 (order-of-magnitude estimate),B,71.5,64.2,67.9,63.8,71.9,85.3,31.7,89.9,95.0,87.8,34.9,48.9,63,50.0,61.5
TJK,Tajikistan,Central Asia,2.3,UN WPP 2024 (order-of-magnitude estimate),B,75.0,60.0,67.5,63.5,71.5,62.9,70.4,88.9,84.0,74.4,47.6,42.3,64,49.2,61.3
ECU,Ecuador,Latin America,3.0,UN WPP 2024 (order-of-magnitude estimate),B,70.1,64.0,67.1,63.2,70.7,65.3,70.9,66.3,93.7,69.3,61.0,55.4,66,47.6,61.0
LBN,Lebanon,Middle East,0.9,UN WPP 2024 (order-of-magnitude estimate),B,76.5,57.7,67.1,65.7,68.6,90.9,45.0,90.1,86.7,70.6,27.3,71.2,65,48.4,61.1
DZA,Algeria,Africa,7.0,UN WPP 2024 (order-of-magnitude estimate),B,85.4,48.3,66.8,63.3,70.5,84.1,75.7,93.6,94.0,56.5,26.3,60.9,67,46.8,60.6
JOR,Jordan,Middle East,2.2,UN WPP 2024 (order-of-magnitude estimate),B,80.7,52.6,66.6,63.5,69.7,85.4,58.9,91.5,99.0,64.8,15.5,77.7,68,46.0,60.2
LBY,Libya,Africa,1.2,UN WPP 2024 (order-of-magnitude estimate),B,81.8,50.9,66.4,62.0,70.7,78.7,79.2,89.4,76.2,68.6,35.2,30.3,71,43.5,59.4
MAR,Morocco,Africa,6.0,UN WPP 2024 (order-of-magnitude estimate),B,79.3,53.6,66.4,62.9,70.0,79.8,69.1,85.5,90.0,55.4,33.3,79.5,69,45.2,59.9
BOL,Bolivia,Latin America,2.4,UN WPP 2024 (order-of-magnitude estimate),B,67.1,65.6,66.4,62.0,70.7,68.0,62.4,62.0,94.4,68.5,69.8,52.1,70,44.4,59.5
BRA,Brazil,Latin America,30.0,UN WPP 2024 (order-of-magnitude estimate),B,69.4,62.7,66.1,62.1,69.1,80.4,78.5,39.9,98.0,64.7,49.8,77.1,72,42.7,58.1
PRY,Paraguay,Latin America,1.2,UN WPP 2024 (order-of-magnitude estimate),B,72.6,58.0,65.3,61.3,67.9,74.4,72.6,63.2,95.0,57.3,58.5,59.1,73,41.9,56.9
COL,Colombia,Latin America,8.0,UN WPP 2024 (order-of-magnitude estimate),B,68.5,60.7,64.6,60.7,68.1,76.1,77.8,41.9,98.0,68.1,46.0,64.2,74,41.1,56.5
EGY,Egypt,Africa,20.0,UN WPP 2024 (order-of-magnitude estimate),B,70.9,52.7,61.8,58.7,64.9,65.9,55.0,82.5,99.0,58.8,38.1,59.1,75,40.3,55.4
DOM,Dominican Republic,Latin America,1.9,UN WPP 2024 (order-of-magnitude estimate),B,64.5,56.3,60.4,56.8,64.0,68.4,67.1,47.4,96.4,50.9,55.4,71.2,76,39.5,54.5
VEN,Venezuela,Latin America,5.0,UN WPP 2024 (order-of-magnitude estimate),B,61.8,55.8,58.8,55.3,62.3,64.1,71.3,38.8,95.4,64.8,49.7,42.3,77,38.7,54.2
KHM,Cambodia,Southeast Asia,3.3,UN WPP 2024 (order-of-magnitude estimate),B,64.1,53.4,58.8,55.3,62.3,63.7,54.3,71.2,73.7,40.9,80.0,45.1,78,37.9,53.9
GHA,Ghana,Africa,7.0,UN WPP 2024 (order-of-magnitude estimate),B,61.5,55.1,58.3,55.1,61.5,56.3,49.9,72.3,79.2,49.0,62.0,59.9,79,37.1,53.5
NIC,Nicaragua,Latin America,1.3,UN WPP 2024 (order-of-magnitude estimate),B,67.3,46.0,56.6,52.8,60.4,63.0,80.5,55.1,77.7,46.5,49.2,39.6,80,36.3,53.1
IND,India,South Asia,253.0,UN WPP 2024 (order-of-magnitude estimate),B,62.0,49.1,55.6,52.4,59.0,66.9,32.6,76.6,92.4,65.9,13.1,61.3,81,35.5,42.9
IRQ,Iraq,Middle East,9.0,UN WPP 2024 (order-of-magnitude estimate),B,70.4,39.6,55.0,51.1,59.0,64.7,71.5,65.7,98.0,41.0,19.2,66.5,82,34.7,32.3
BGD,Bangladesh,South Asia,30.0,UN WPP 2024 (order-of-magnitude estimate),B,60.9,48.8,54.9,51.1,58.6,55.2,58.1,57.4,97.4,62.0,41.3,27.0,83,33.9,30.7
MMR,Myanmar,Southeast Asia,9.0,UN WPP 2024 (order-of-magnitude estimate),B,61.9,45.0,53.5,50.0,56.9,59.0,49.5,75.5,67.1,39.5,67.9,24.7,84,33.1,29.1
NPL,Nepal,South Asia,6.0,UN WPP 2024 (order-of-magnitude estimate),B,58.5,48.0,53.3,49.0,57.8,57.2,56.9,50.2,91.9,56.9,38.2,40.4,85,32.3,28.5
TLS,Timor-Leste,Southeast Asia,0.33,UN WPP 2024 (order-of-magnitude estimate),B,63.1,42.8,52.9,49.4,56.5,49.1,58.6,75.2,81.9,38.2,62.9,24.2,86,31.5,28.3
GTM,Guatemala,Latin America,4.3,UN WPP 2024 (order-of-magnitude estimate),B,60.2,45.2,52.7,48.9,55.5,48.6,83.0,38.5,92.1,47.7,50.6,30.8,87,30.6,28.1
ZAF,South Africa,Africa,11.0,UN WPP 2024 (order-of-magnitude estimate),B,51.7,53.2,52.4,48.7,56.1,56.2,31.6,56.1,85.2,60.4,26.1,75.7,88,29.8,27.5
HND,Honduras,Latin America,2.1,UN WPP 2024 (order-of-magnitude estimate),B,59.8,41.6,50.7,47.0,54.4,63.5,77.7,27.2,92.9,43.1,44.4,33.6,89,29.0,26.9
BWA,Botswana,Africa,0.5,UN WPP 2024 (order-of-magnitude estimate),B,46.7,53.8,50.3,48.2,53.3,57.0,12.9,61.7,72.5,60.9,36.2,62.7,90,28.2,26.8
KEN,Kenya,Africa,12.0,UN WPP 2024 (order-of-magnitude estimate),B,55.4,44.5,50.0,46.7,53.2,56.9,52.7,59.2,47.3,43.0,61.0,23.7,91,27.4,26.3
SEN,Senegal,Africa,4.0,UN WPP 2024 (order-of-magnitude estimate),B,60.1,37.5,48.8,45.2,52.4,56.1,61.4,60.9,66.2,20.1,59.4,47.9,92,26.6,25.7
LAO,Laos,Southeast Asia,1.5,UN WPP 2024 (order-of-magnitude estimate),B,52.9,44.4,48.6,44.9,52.4,44.5,51.3,51.9,86.0,33.9,60.2,47.0,93,25.8,25.5
NAM,Namibia,Africa,0.6,UN WPP 2024 (order-of-magnitude estimate),B,53.3,41.2,47.2,44.1,50.4,56.8,28.7,73.1,57.4,45.1,28.9,49.7,94,25.0,25.4
RWA,Rwanda,Africa,3.0,UN WPP 2024 (order-of-magnitude estimate),B,52.7,38.4,45.6,43.7,48.7,53.9,31.1,79.2,34.9,31.9,65.8,13.5,95,24.2,25.2
SYR,Syria,Middle East,5.0,UN WPP 2024 (order-of-magnitude estimate),B,61.7,26.7,44.2,42.8,46.5,64.4,45.0,68.3,83.7,39.2,11.6,18.2,96,23.4,24.9
PAK,Pakistan,South Asia,51.0,UN WPP 2024 (order-of-magnitude estimate),B,56.3,27.8,42.1,38.3,45.8,39.2,45.2,74.3,86.9,29.9,31.4,17.1,97,22.6,22.6
CIV,Cote d'Ivoire,Africa,6.5,UN WPP 2024 (order-of-magnitude estimate),B,45.0,34.0,39.5,36.8,42.2,26.1,44.0,61.5,55.2,20.9,59.4,28.3,98,21.8,20.3
TZA,Tanzania,Africa,15.0,UN WPP 2024 (order-of-magnitude estimate),B,40.8,37.8,39.3,36.9,42.2,35.0,42.9,47.9,30.5,27.7,71.6,12.1,99,21.0,19.5
ZMB,Zambia,Africa,5.0,UN WPP 2024 (order-of-magnitude estimate),B,37.8,38.5,38.2,35.3,41.3,23.2,36.7,55.6,31.8,37.5,56.4,14.4,100,20.2,18.6
CMR,Cameroon,Africa,6.5,UN WPP 2024 (order-of-magnitude estimate),B,37.3,38.9,38.1,35.2,41.4,24.4,38.0,46.4,46.1,30.3,61.2,27.0,101,19.4,18.2
HTI,Haiti,Latin America,2.6,UN WPP 2024 (order-of-magnitude estimate),B,48.9,25.5,37.2,34.9,40.6,51.1,38.4,62.0,34.8,23.6,34.6,16.8,102,18.5,17.8
ZWE,Zimbabwe,Africa,4.0,UN WPP 2024 (order-of-magnitude estimate),B,34.4,39.7,37.0,35.5,39.9,41.1,13.0,49.4,32.9,43.7,48.7,16.3,103,17.7,17.6
UGA,Uganda,Africa,12.0,UN WPP 2024 (order-of-magnitude estimate),B,36.9,32.7,34.8,31.7,38.0,38.0,40.9,36.4,23.5,24.6,64.7,4.7,104,16.9,16.9
ETH,Ethiopia,Africa,30.0,UN WPP 2024 (order-of-magnitude estimate),B,40.8,26.6,33.7,30.1,37.4,39.5,46.2,43.1,21.8,18.2,58.5,0.0,105,16.1,15.2
MWI,Malawi,Africa,5.0,UN WPP 2024 (order-of-magnitude estimate),B,33.9,31.4,32.6,31.0,35.6,29.3,34.0,42.9,20.0,25.6,60.1,2.8,106,15.3,13.8
PNG,Papua New Guinea,Oceania,2.2,UN WPP 2024 (order-of-magnitude estimate),B,41.9,22.0,32.0,28.5,35.5,42.7,47.0,50.0,0.0,13.9,44.1,9.3,108,13.7,12.9
AGO,Angola,Africa,8.0,UN WPP 2024 (order-of-magnitude estimate),B,36.3,27.7,32.0,28.8,35.6,12.6,44.0,56.3,24.4,19.9,46.0,19.5,107,14.5,13.3
MDG,Madagascar,Africa,6.5,UN WPP 2024 (order-of-magnitude estimate),B,32.1,30.5,31.3,28.7,34.1,12.0,44.1,46.1,14.3,27.3,56.2,0.0,109,12.9,12.5
BEN,Benin,Africa,3.2,UN WPP 2024 (order-of-magnitude estimate),B,37.3,25.0,31.2,28.5,33.8,20.0,49.9,43.8,31.7,12.4,52.5,15.3,110,12.1,12.1
NGA,Nigeria,Africa,55.0,UN WPP 2024 (order-of-magnitude estimate),B,32.9,27.8,30.4,27.1,34.2,12.5,59.8,19.8,52.9,20.7,40.3,27.0,111,11.3,9.8
SDN,Sudan,Africa,10.0,UN WPP 2024 (order-of-magnitude estimate),B,40.0,17.7,28.8,27.0,32.1,32.2,42.0,48.5,31.8,22.5,16.3,7.5,112,10.5,7.1
AFG,Afghanistan,South Asia,10.0,UN WPP 2024 (order-of-magnitude estimate),B,43.9,12.7,28.3,26.9,29.8,35.9,41.7,52.6,48.7,17.1,13.7,0.0,113,9.7,6.3
MOZ,Mozambique,Africa,7.0,UN WPP 2024 (order-of-magnitude estimate),B,28.8,26.8,27.8,24.7,31.0,10.8,38.0,40.3,20.4,22.6,51.8,0.0,114,8.9,5.7
COD,DR Congo,Africa,25.0,UN WPP 2024 (order-of-magnitude estimate),B,22.5,33.0,27.7,26.7,30.7,13.5,31.1,30.3,0.5,30.9,55.3,4.7,115,8.1,4.4
LSO,Lesotho,Africa,0.5,UN WPP 2024 (order-of-magnitude estimate),B,21.8,32.1,27.0,25.3,29.9,24.9,0.0,34.2,40.7,33.6,28.5,33.9,116,7.3,3.3
YEM,Yemen,Middle East,8.0,UN WPP 2024 (order-of-magnitude estimate),B,39.5,13.7,26.6,25.4,29.2,34.9,30.9,51.2,44.3,22.9,4.2,4.7,117,6.5,3.0
BFA,Burkina Faso,Africa,5.5,UN WPP 2024 (order-of-magnitude estimate),B,33.8,17.2,25.5,22.7,28.8,20.5,52.8,39.5,0.0,2.3,51.8,2.8,118,5.6,2.4
MLI,Mali,Africa,5.5,UN WPP 2024 (order-of-magnitude estimate),B,31.4,14.9,23.1,20.1,26.9,9.3,48.3,30.2,50.6,2.2,36.8,14.0,119,4.8,2.0
GIN,Guinea,Africa,3.2,UN WPP 2024 (order-of-magnitude estimate),B,29.6,15.2,22.4,19.5,26.0,8.5,44.1,35.8,30.5,2.3,38.7,12.1,120,4.0,1.6
NER,Niger,Africa,6.5,UN WPP 2024 (order-of-magnitude estimate),B,27.7,8.6,18.1,15.7,21.1,0.0,51.3,39.9,3.0,0.0,28.6,0.0,121,3.2,1.3
SOM,Somalia,Africa,4.0,UN WPP 2024 (order-of-magnitude estimate),B,28.5,4.9,16.7,15.6,18.7,12.6,40.0,34.4,23.7,0.0,12.5,5.6,122,2.4,0.8
TCD,Chad,Africa,4.0,UN WPP 2024 (order-of-magnitude estimate),B,21.2,10.2,15.7,13.7,18.8,3.0,39.7,27.9,0.0,0.6,33.0,0.0,123,1.6,0.5
CAF,Central African Republic,Africa,1.3,UN WPP 2024 (order-of-magnitude estimate),B,17.6,8.9,13.3,12.6,16.4,0.0,29.9,28.9,0.0,0.7,28.5,0.0,124,0.8,0.3
SSD,South Sudan,Africa,3.0,UN WPP 2024 (order-of-magnitude estimate),B,19.5,6.5,13.0,12.6,14.3,13.5,33.0,18.5,0.0,0.0,21.8,0.0,125,0.0,0.1
