iso3,name,region,pop_1019_millions,pop_source,pop_tier
COL,Colombia,Latin America,8.0,UN WPP 2024 (order-of-magnitude estimate),B
CRI,Costa Rica,Latin America,0.7,UN WPP 2024 (order-of-magnitude estimate),B
CIV,Cote d'Ivoire,Africa,6.5,UN WPP 2024 (order-of-magnitude estimate),B
HRV,Croatia,Europe,0.37,UN WPP 2024 (order-of-magnitude estimate),B
CUB,Cuba,Latin America,1.1,UN WPP 2024 (order-of-magnitude estimate),B
CZE,Czechia,Europe,1.0,UN WPP 2024 (order-of-magnitude estimate),B
COD,DR Congo,Africa,25.0,UN WPP 2024 (order-of-magnitude estimate),B
DNK,Denmark,Europe,0.65,UN WPP 2024 (order-of-magnitude estimate),B
DOM,Dominican Republic,Latin America,1.9,UN WPP 2024 (order-of-magnitude estimate),B
ECU,Ecuador,Latin America,3.0,UN WPP 2024 (order-of-magnitude estimate),B
EGY,Egypt,Africa,20.0,UN WPP 2024 (order-of-magnitude estimate),B
EST,Estonia,Europe,0.13,UN WPP 2024 (order-of-magnitude estimate),B
ETH,Ethiopia,Africa,30.0,UN WPP 2024 (order-of-magnitude estimate),B
FIN,Finland,Europe,0.6,UN WPP 2024 (order-of-magnitude estimate),B
FRA,France,Europe,8.0,UN WPP 2024 (order-of-magnitude estimate),B
GEO,Georgia,Central Asia,0.45,UN WPP 2024 (order-of-magnitude estimate),B
DEU,Germany,Europe,8.0,UN WPP 2024 (order-of-magnitude estimate),B
GHA,Ghana,Africa,7.0,UN WPP 2024 (order-of-magnitude estimate),B
GRC,Greece,Europe,1.0,UN WPP 2024 (order-of-magnitude estimate),B
GTM,Guatemala,Latin America,4.3,UN WPP 2024 (order-of-magnitude estimate),B
GIN,Guinea,Africa,3.2,UN WPP 2024 (order-of-magnitude estimate),B
HTI,Haiti,Latin America,2.6,UN WPP 2024 (order-of-magnitude estimate),B
HND,Honduras,Latin America,2.1,UN WPP 2024 (order-of-magnitude estimate),B
HUN,Hungary,Europe,0.95,UN WPP 2024 (order-of-magnitude estimate),B
IND,India,South Asia,253.0,UN WPP 2024 (order-of-magnitude estimate),B
IDN,Indonesia,Southeast Asia,45.0,UN WPP 2024 (order-of-magnitude estimate),B
IRN,Iran,Middle East,11.0,UN WPP 2024 (order-of-magnitude estimate),B
IRQ,Iraq,Middle East,9.0,UN WPP 2024 (order-of-magnitude estimate),B
IRL,Ireland,Europe,0.65,UN WPP 2024 (order-of-magnitude estimate),B
ISR,Israel,Middle East,1.35,UN WPP 2024 (order-of-magnitude estimate),B
ITA,Italy,Europe,5.5,UN WPP 2024 (order-of-magnitude estimate),B
JAM,Jamaica,Latin America,0.4,UN WPP 2024 (order-of-magnitude estimate),B
JPN,Japan,East Asia,10.5,UN WPP 2024 (order-of-magnitude estimate),B
JOR,Jordan,Middle East,2.2,UN WPP 2024 (order-of-magnitude estimate),B
KAZ,Kazakhstan,Central Asia,2.8,UN WPP 2024 (order-of-magnitude estimate),B
KEN,Kenya,Africa,12.0,UN WPP 2024 (order-of-magnitude estimate),B
KGZ,Kyrgyzstan,Central Asia,1.4,UN WPP 2024 (order-of-magnitude estimate),B
LAO,Laos,Southeast Asia,1.5,UN WPP 2024 (order-of-magnitude estimate),B
LBN,Lebanon,Middle East,0.9,UN WPP 2024 (order-of-magnitude estimate),B
LSO,Lesotho,Africa,0.5,UN WPP 2024 (order-of-magnitude estimate),B
LBY,Libya,Africa,1.2,UN WPP 2024 (order-of-magnitude estimate),B
MDG,Madagascar,Africa,6.5,UN WPP 2024 (order-of-magnitude estimate),B
MWI,Malawi,Africa,5.0,UN WPP 2024 (order-of-magnitude estimate),B
MYS,Malaysia,Southeast Asia,5.0,UN WPP 2024 (order-of-magnitude estimate),B
MLI,Mali,Africa,5.5,UN WPP 2024 (order-of-magnitude estimate),B
MEX,Mexico,Latin America,21.0,UN WPP 2024 (order-of-magnitude estimate),B
MNG,Mongolia,East Asia,0.5,UN WPP 2024 (order-of-magnitude estimate),B
MAR,Morocco,Africa,6.0,UN WPP 2024 (order-of-magnitude estimate),B
MOZ,Mozambique,Africa,7.0,UN WPP 2024 (order-of-magnitude estimate),B
MMR,Myanmar,Southeast Asia,9.0,UN WPP 2024 (order-of-magnitude estimate),B
NAM,Namibia,Africa,0.6,UN WPP 2024 (order-of-magnitude estimate),B
NPL,Nepal,South Asia,6.0,UN WPP 2024 (order-of-magnitude estimate),B
NLD,Netherlands,Europe,2.0,UN WPP 2024 (order-of-magnitude estimate),B
NZL,New Zealand,Oceania,0.63,UN WPP 2024 (order-of-magnitude estimate),B
NIC,Nicaragua,Latin America,1.3,UN WPP 2024 (order-of-magnitude estimate),B
NER,Niger,Africa,6.5,UN WPP 2024 (order-of-magnitude estimate),B
NGA,Nigeria,Africa,55.0,UN WPP 2024 (order-of-magnitude estimate),B
NOR,Norway,Europe,0.65,UN WPP 2024 (order-of-magnitude estimate),B
PAK,Pakistan,South Asia,51.0,UN WPP 2024 (order-of-magnitude estimate),B
PNG,Papua New Guinea,Oceania,2.2,UN WPP 2024 (order-of-magnitude estimate),B
PRY,Paraguay,Latin America,1.2,UN WPP 2024 (order-of-magnitude estimate),B
PER,Peru,Latin America,5.5,UN WPP 2024 (order-of-magnitude estimate),B
PHL,Philippines,Southeast Asia,22.0,UN WPP 2024 (order-of-magnitude estimate),B
POL,Poland,Europe,3.5,UN WPP 2024 (order-of-magnitude estimate),B
PRT,Portugal,Europe,1.0,UN WPP 2024 (order-of-magnitude estimate),B
ROU,Romania,Europe,1.9,UN WPP 2024 (order-of-magnitude estimate),B
RUS,Russia,Europe,15.0,UN WPP 2024 (order-of-magnitude estimate),B
RWA,Rwanda,Africa,3.0,UN WPP 2024 (order-of-magnitude estimate),B
SAU,Saudi Arabia,Middle East,4.5,UN WPP 2024 (order-of-magnitude estimate),B
SEN,Senegal,Africa,4.0,UN WPP 2024 (order-of-magnitude estimate),B
SRB,Serbia,Europe,0.65,UN WPP 2024 (order-of-magnitude estimate),B
SGP,Singapore,Southeast Asia,0.42,UN WPP 2024 (order-of-magnitude estimate),B
SVN,Slovenia,Europe,0.2,UN WPP 2024 (order-of-magnitude estimate),B
SOM,Somalia,Africa,4.0,UN WPP 2024 (order-of-magnitude estimate),B
ZAF,South Africa,Africa,11.0,UN WPP 2024 (order-of-magnitude estimate),B
KOR,South Korea,East Asia,4.4,UN WPP 2024 (order-of-magnitude estimate),B
SSD,South Sudan,Africa,3.0,UN WPP 2024 (order-of-magnitude estimate),B
ESP,Spain,Europe,4.5,UN WPP 2024 (order-of-magnitude estimate),B
LKA,Sri Lanka,South Asia,2.7,UN WPP 2024 (order-of-magnitude estimate),B
SDN,Sudan,Africa,10.0,UN WPP 2024 (order-of-magnitude estimate),B
SWE,Sweden,Europe,1.2,UN WPP 2024 (order-of-magnitude estimate),B
CHE,Switzerland,Europe,0.9,UN WPP 2024 (order-of-magnitude estimate),B
SYR,Syria,Middle East,5.0,UN WPP 2024 (order-of-magnitude estimate),B
TJK,Tajikistan,Central Asia,2.3,UN WPP 2024 (order-of-magnitude estimate),B
TZA,Tanzania,Africa,15.0,UN WPP 2024 (order-of-magnitude estimate),B
THA,Thailand,Southeast Asia,8.0,UN WPP 2024 (order-of-magnitude estimate),B
TLS,Timor-Leste,Southeast Asia,0.33,UN WPP 2024 (order-of-magnitude estimate),B
TUN,Tunisia,Africa,1.6,UN WPP 2024 (order-of-magnitude estimate),B
TUR,Turkey,Middle East,12.0,UN WPP 2024 (order-of-magnitude estimate),B
UGA,Uganda,Africa,12.0,UN WPP 2024 (order-of-magnitude estimate),B
UKR,Ukraine,Europe,4.0,UN WPP 2024 (order-of-magnitude estimate),B
ARE,United Arab Emirates,Middle East,0.9,UN WPP 2024 (order-of-magnitude estimate),B
GBR,United Kingdom,Europe,7.5,UN WPP 2024 (order-of-magnitude estimate),B
USA,United States,North America,42.0,UN WPP 2024 (order-of-magnitude estimate),B
URY,Uruguay,Latin America,0.5,UN WPP 2024 (order-of-magnitude estimate),B
UZB,Uzbekistan,Central Asia,6.5,UN WPP 2024 (order-of-magnitude estimate),B
VEN,Venezuela,Latin America,5.0,UN WPP 2024 (order-of-magnitude estimate),B
VNM,Vietnam,Southeast Asia,14.0,UN WPP 2024 (order-of-magnitude estimate),B
YEM,Yemen,Middle East,8.0,UN WPP 2024 (order-of-magnitude estimate),B
ZMB,Zambia,Africa,5.0,UN WPP 2024 (order-of-magnitude estimate),B
ZWE,Zimbabwe,Africa,4.0,UN WPP 2024 (order-of-magnitude estimate),B
