iso3,country,indicator_id,value,value_low,value_high,year,confidence_tier,source,note
ARG,Argentina,electricity,100.0,100.0,100.0,2023,A,World Bank / IEA,
ARG,Argentina,hlo,429.38,416.5,442.26,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
ARG,Argentina,homicide,5.3,5.3,5.3,2023,A,UNODC,
ARG,Argentina,internet,90.0,90.0,90.0,2023,A,ITU / World Bank,
ARG,Argentina,ladder,6.19,4.95,7.43,2023,C,Gallup World Poll via World Happiness Report,
ARG,Argentina,lsec_comp,74.0,74.0,74.0,2023,A,UNESCO UIS,
ARG,Argentina,mobile_bb,90.0,81.0,99.0,2023,B,ITU,
ARG,Argentina,neet,20.0,19.0,21.0,2023,B,ILOSTAT / national LFS (PLFS for India),
ARG,Argentina,neet_gap,8.0,7.6,8.4,2023,B,Derived from ILOSTAT / national LFS,
ARG,Argentina,stunting,7.5,7.05,7.95,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
ARG,Argentina,suicide,8.1,8.1,8.1,2023,A,WHO Global Health Estimates; NCRB for India,
ARG,Argentina,u5mr,8.5,8.5,8.5,2023,A,UN IGME,
ARG,Argentina,water,99.0,99.0,99.0,2023,A,WHO/UNICEF JMP,
ARG,Argentina,y_unemp,20.0,19.0,21.0,2023,B,ILOSTAT,
ARG,Argentina,youth_lit,99.0,99.0,99.0,2023,A,UNESCO UIS,
ARM,Armenia,adol_fert,20.0,20.0,20.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
ARM,Armenia,child_labour,4.0,3.6,4.4,2023,B,ILO/UNICEF,
ARM,Armenia,child_marriage,5.0,5.0,5.0,2023,A,UNICEF; DHS/MICS,
ARM,Armenia,electricity,100.0,100.0,100.0,2023,A,World Bank / IEA,
ARM,Armenia,hlo,469.07,455.0,483.14,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
ARM,Armenia,homicide,1.5,1.5,1.5,2023,A,UNODC,
ARM,Armenia,internet,80.0,80.0,80.0,2023,A,ITU / World Bank,
ARM,Armenia,ladder,5.34,4.27,6.41,2023,C,Gallup World Poll via World Happiness Report,
ARM,Armenia,lsec_comp,96.0,96.0,96.0,2023,A,UNESCO UIS,
ARM,Armenia,mobile_bb,80.0,72.0,88.0,2023,B,ITU,
ARM,Armenia,neet,26.0,24.7,27.3,2023,B,ILOSTAT / national LFS (PLFS for India),
ARM,Armenia,neet_gap,15.0,14.25,15.75,2023,B,Derived from ILOSTAT / national LFS,
ARM,Armenia,stunting,9.0,8.46,9.54,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
ARM,Armenia,suicide,5.0,5.0,5.0,2023,A,WHO Global Health Estimates; NCRB for India,
ARM,Armenia,u5mr,11.0,11.0,11.0,2023,A,UN IGME,
ARM,Armenia,water,98.0,98.0,98.0,2023,A,WHO/UNICEF JMP,
ARM,Armenia,y_unemp,30.0,28.5,31.5,2023,B,ILOSTAT,
ARM,Armenia,youth_lit,100.0,100.0,100.0,2023,A,UNESCO UIS,
AUS,Australia,adol_fert,7.0,7.0,7.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
AUS,Australia,child_labour,0.0,0.0,0.0,2023,B,ILO/UNICEF,
AUS,Australia,child_marriage,0.2,0.2,0.2,2023,A,UNICEF; DHS/MICS,
AUS,Australia,electricity,100.0,100.0,100.0,2023,A,World Bank / IEA,
AUS,Australia,hlo,509.22,493.94,524.5,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
AUS,Australia,homicide,0.9,0.9,0.9,2023,A,UNODC,
AUS,Australia,internet,96.0,96.0,96.0,2023,A,ITU / World Bank,
AUS,Australia,ladder,7.06,5.65,8.47,2023,C,Gallup World Poll via World Happiness Report,
AUS,Australia,lsec_comp,95.0,95.0,95.0,2023,A,UNESCO UIS,
AUS,Australia,mobile_bb,120.0,108.0,132.0,2023,B,ITU,
AUS,Australia,neet,8.5,8.07,8.93,2023,B,ILOSTAT / national LFS (PLFS for India),
AUS,Australia,neet_gap,1.5,1.42,1.58,2023,B,Derived from ILOSTAT / national LFS,
AUS,Australia,stunting,2.0,1.88,2.12,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
AUS,Australia,suicide,12.2,12.2,12.2,2023,A,WHO Global Health Estimates; NCRB for India,
AUS,Australia,u5mr,3.4,3.4,3.4,2023,A,UN IGME,
AUS,Australia,water,100.0,100.0,100.0,2023,A,WHO/UNICEF JMP,
AUS,Australia,y_unemp,9.0,8.55,9.45,2023,B,ILOSTAT,
AUS,Australia,youth_lit,100.0,100.0,100.0,2023,A,UNESCO UIS,
AUT,Austria,adol_fert,5.0,5.0,5.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
AUT,Austria,child_labour,0.0,0.0,0.0,2023,B,ILO/UNICEF,
AUT,Austria,child_marriage,0.2,0.2,0.2,2023,A,UNICEF; DHS/MICS,
AUT,Austria,electricity,100.0,100.0,100.0,2023,A,World Bank / IEA,
AUT,Austria,hlo,519.54,503.95,535.13,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
AUT,Austria,homicide,0.6,0.6,0.6,2023,A,UNODC,
AUT,Austria,internet,95.0,95.0,95.0,2023,A,ITU / World Bank,
AUT,Austria,ladder,6.85,5.48,8.22,2023,C,Gallup World Poll via World Happiness Report,
AUT,Austria,lsec_comp,96.0,96.0,96.0,2023,A,UNESCO UIS,
AUT,Austria,mobile_bb,100.0,90.0,110.0,2023,B,ITU,
AUT,Austria,neet,9.0,8.55,9.45,2023,B,ILOSTAT / national LFS (PLFS for India),
AUT,Austria,neet_gap,1.5,1.42,1.58,2023,B,Derived from ILOSTAT / national LFS,
AUT,Austria,stunting,1.7,1.6,1.8,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
AUT,Austria,suicide,12.6,12.6,12.6,2023,A,WHO Global Health Estimates; NCRB for India,
AUT,Austria,u5mr,3.4,3.4,3.4,2023,A,UN IGME,
AUT,Austria,water,100.0,100.0,100.0,2023,A,WHO/UNICEF JMP,
AUT,Austria,y_unemp,10.5,9.97,11.03,2023,B,ILOSTAT,
AUT,Austria,youth_lit,100.0,100.0,100.0,2023,A,UNESCO UIS,
AZE,Azerbaijan,adol_fert,40.0,40.0,40.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
AZE,Azerbaijan,child_labour,7.0,6.3,7.7,2023,B,ILO/UNICEF,
AZE,Azerbaijan,child_marriage,11.0,11.0,11.0,2023,A,UNICEF; DHS/MICS,
AZE,Azerbaijan,electricity,100.0,100.0,100.0,2023,A,World Bank / IEA,
AZE,Azerbaijan,hlo,453.14,439.55,466.73,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
AZE,Azerbaijan,homicide,2.0,2.0,2.0,2023,A,UNODC,
AZE,Azerbaijan,internet,88.0,88.0,88.0,2023,A,ITU / World Bank,
AZE,Azerbaijan,ladder,5.28,4.22,6.34,2023,C,Gallup World Poll via World Happiness Report,
AZE,Azerbaijan,lsec_comp,95.0,95.0,95.0,2023,A,UNESCO UIS,
AZE,Azerbaijan,mobile_bb,80.0,72.0,88.0,2023,B,ITU,
AZE,Azerbaijan,neet,25.0,23.75,26.25,2023,B,ILOSTAT / national LFS (PLFS for India),
AZE,Azerbaijan,neet_gap,15.0,14.25,15.75,2023,B,Derived from ILOSTAT / national LFS,
AZE,Azerbaijan,stunting,14.0,13.16,14.84,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
AZE,Azerbaijan,suicide,3.0,3.0,3.0,2023,A,WHO Global Health Estimates; NCRB for India,
AZE,Azerbaijan,u5mr,18.0,18.0,18.0,2023,A,UN IGME,
AZE,Azerbaijan,water,96.0,96.0,96.0,2023,A,WHO/UNICEF JMP,
AZE,Azerbaijan,y_unemp,13.0,12.35,13.65,2023,B,ILOSTAT,
AZE,Azerbaijan,youth_lit,100.0,100.0,100.0,2023,A,UNESCO UIS,
BGD,Bangladesh,adol_fert,71.0,71.0,71.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
BGD,Bangladesh,child_labour,7.0,6.3,7.7,2023,B,ILO/UNICEF,
BGD,Bangladesh,child_marriage,51.0,51.0,51.0,2023,A,UNICEF; DHS/MICS,
BGD,Bangladesh,electricity,99.0,99.0,99.0,2023,A,World Bank / IEA,
BGD,Bangladesh,hlo,402.89,378.72,427.06,2023,C,"Altinok, Angrist & Patrinos (2018) / World Bank HLO","Imputed by OLS on log(u5mr), youth_lit, lsec_comp, internet; R2=0.87"
BGD,Bangladesh,homicide,2.4,2.4,2.4,2023,A,UNODC,
BGD,Bangladesh,internet,45.0,45.0,45.0,2023,A,ITU / World Bank,
BGD,Bangladesh,ladder,4.28,3.42,5.14,2023,C,Gallup World Poll via World Happiness Report,
BGD,Bangladesh,lsec_comp,74.0,74.0,74.0,2023,A,UNESCO UIS,
BGD,Bangladesh,mobile_bb,45.0,40.5,49.5,2023,B,ITU,
BGD,Bangladesh,neet,26.0,24.7,27.3,2023,B,ILOSTAT / national LFS (PLFS for India),
BGD,Bangladesh,neet_gap,25.0,23.75,26.25,2023,B,Derived from ILOSTAT / national LFS,
BGD,Bangladesh,stunting,24.0,22.56,25.44,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
BGD,Bangladesh,suicide,3.7,3.7,3.7,2023,A,WHO Global Health Estimates; NCRB for India,
BGD,Bangladesh,u5mr,27.0,27.0,27.0,2023,A,UN IGME,
BGD,Bangladesh,water,98.0,98.0,98.0,2023,A,WHO/UNICEF JMP,
BGD,Bangladesh,y_unemp,12.0,11.4,12.6,2023,B,ILOSTAT,
BGD,Bangladesh,youth_lit,95.0,95.0,95.0,2023,A,UNESCO UIS,
BLR,Belarus,adol_fert,10.0,10.0,10.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
BLR,Belarus,child_labour,1.0,0.9,1.1,2023,B,ILO/UNICEF,
BLR,Belarus,child_marriage,1.0,1.0,1.0,2023,A,UNICEF; DHS/MICS,
BLR,Belarus,electricity,100.0,100.0,100.0,2023,A,World Bank / IEA,
BLR,Belarus,hlo,533.29,501.3,565.29,2023,C,"Altinok, Angrist & Patrinos (2018) / World Bank HLO","Imputed by OLS on log(u5mr), youth_lit, lsec_comp, internet; R2=0.87"
BLR,Belarus,homicide,2.4,2.4,2.4,2023,A,UNODC,
BLR,Belarus,internet,89.0,89.0,89.0,2023,A,ITU / World Bank,
BLR,Belarus,ladder,5.3,4.24,6.36,2023,C,Gallup World Poll via World Happiness Report,
BLR,Belarus,lsec_comp,96.0,96.0,96.0,2023,A,UNESCO UIS,
BLR,Belarus,mobile_bb,95.0,85.5,104.5,2023,B,ITU,
BLR,Belarus,neet,10.0,9.5,10.5,2023,B,ILOSTAT / national LFS (PLFS for India),
BLR,Belarus,neet_gap,3.0,2.85,3.15,2023,B,Derived from ILOSTAT / national LFS,
BLR,Belarus,stunting,3.0,2.82,3.18,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
BLR,Belarus,suicide,20.0,20.0,20.0,2023,A,WHO Global Health Estimates; NCRB for India,
BLR,Belarus,u5mr,3.0,3.0,3.0,2023,A,UN IGME,
BLR,Belarus,water,98.0,98.0,98.0,2023,A,WHO/UNICEF JMP,
BLR,Belarus,y_unemp,10.0,9.5,10.5,2023,B,ILOSTAT,
BLR,Belarus,youth_lit,100.0,100.0,100.0,2023,A,UNESCO UIS,
BEL,Belgium,adol_fert,5.0,5.0,5.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
BEL,Belgium,child_labour,0.0,0.0,0.0,2023,B,ILO/UNICEF,
BEL,Belgium,child_marriage,0.2,0.2,0.2,2023,A,UNICEF; DHS/MICS,
BEL,Belgium,electricity,100.0,100.0,100.0,2023,A,World Bank / IEA,
BEL,Belgium,hlo,529.11,513.24,544.98,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
BEL,Belgium,homicide,1.3,1.3,1.3,2023,A,UNODC,
BEL,Belgium,internet,95.0,95.0,95.0,2023,A,ITU / World Bank,
BEL,Belgium,ladder,6.9,5.52,8.28,2023,C,Gallup World Poll via World Happiness Report,
BEL,Belgium,lsec_comp,96.0,96.0,96.0,2023,A,UNESCO UIS,
BEL,Belgium,mobile_bb,90.0,81.0,99.0,2023,B,ITU,
BEL,Belgium,neet,10.5,9.97,11.03,2023,B,ILOSTAT / national LFS (PLFS for India),
BEL,Belgium,neet_gap,1.5,1.42,1.58,2023,B,Derived from ILOSTAT / national LFS,
BEL,Belgium,stunting,1.7,1.6,1.8,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
BEL,Belgium,suicide,15.0,15.0,15.0,2023,A,WHO Global Health Estimates; NCRB for India,
BEL,Belgium,u5mr,3.5,3.5,3.5,2023,A,UN IGME,
BEL,Belgium,water,100.0,100.0,100.0,2023,A,WHO/UNICEF JMP,
BEL,Belgium,y_unemp,15.0,14.25,15.75,2023,B,ILOSTAT,
BEL,Belgium,youth_lit,100.0,100.0,100.0,2023,A,UNESCO UIS,
BEN,Benin,adol_fert,90.0,90.0,90.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
BEN,Benin,child_labour,53.0,47.7,58.3,2023,B,ILO/UNICEF,
BEN,Benin,child_marriage,31.0,31.0,31.0,2023,A,UNICEF; DHS/MICS,
BEN,Benin,electricity,42.0,42.0,42.0,2023,A,World Bank / IEA,
BEN,Benin,hlo,279.03,270.66,287.4,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
BEN,Benin,homicide,6.0,6.0,6.0,2023,A,UNODC,
BEN,Benin,internet,34.0,34.0,34.0,2023,A,ITU / World Bank,
BEN,Benin,ladder,4.4,3.52,5.28,2023,C,Gallup World Poll via World Happiness Report,
BEN,Benin,lsec_comp,45.0,45.0,45.0,2023,A,UNESCO UIS,
BEN,Benin,mobile_bb,40.0,36.0,44.0,2023,B,ITU,
BEN,Benin,neet,30.0,28.5,31.5,2023,B,ILOSTAT / national LFS (PLFS for India),
BEN,Benin,neet_gap,15.0,14.25,15.75,2023,B,Derived from ILOSTAT / national LFS,
BEN,Benin,stunting,32.0,30.08,33.92,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
BEN,Benin,suicide,7.0,7.0,7.0,2023,A,WHO Global Health Estimates; NCRB for India,
BEN,Benin,u5mr,82.0,82.0,82.0,2023,A,UN IGME,
BEN,Benin,water,68.0,68.0,68.0,2023,A,WHO/UNICEF JMP,
BEN,Benin,y_unemp,3.0,2.85,3.15,2023,B,ILOSTAT,
BEN,Benin,youth_lit,65.0,65.0,65.0,2023,A,UNESCO UIS,
BOL,Bolivia,adol_fert,63.0,63.0,63.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
BOL,Bolivia,child_labour,26.0,23.4,28.6,2023,B,ILO/UNICEF,
BOL,Bolivia,child_marriage,20.0,20.0,20.0,2023,A,UNICEF; DHS/MICS,
BOL,Bolivia,electricity,99.0,99.0,99.0,2023,A,World Bank / IEA,
BOL,Bolivia,hlo,409.6,385.02,434.18,2023,C,"Altinok, Angrist & Patrinos (2018) / World Bank HLO","Imputed by OLS on log(u5mr), youth_lit, lsec_comp, internet; R2=0.87"
BOL,Bolivia,homicide,4.5,4.5,4.5,2023,A,UNODC,
BOL,Bolivia,internet,66.0,66.0,66.0,2023,A,ITU / World Bank,
BOL,Bolivia,ladder,5.9,4.72,7.08,2023,C,Gallup World Poll via World Happiness Report,
BOL,Bolivia,lsec_comp,80.0,80.0,80.0,2023,A,UNESCO UIS,
BOL,Bolivia,mobile_bb,65.0,58.5,71.5,2023,B,ITU,
BOL,Bolivia,neet,18.0,17.1,18.9,2023,B,ILOSTAT / national LFS (PLFS for India),
BOL,Bolivia,neet_gap,9.0,8.55,9.45,2023,B,Derived from ILOSTAT / national LFS,
BOL,Bolivia,stunting,12.0,11.28,12.72,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
BOL,Bolivia,suicide,10.0,10.0,10.0,2023,A,WHO Global Health Estimates; NCRB for India,
BOL,Bolivia,u5mr,21.0,21.0,21.0,2023,A,UN IGME,
BOL,Bolivia,water,95.0,95.0,95.0,2023,A,WHO/UNICEF JMP,
BOL,Bolivia,y_unemp,10.0,9.5,10.5,2023,B,ILOSTAT,
BOL,Bolivia,youth_lit,99.0,99.0,99.0,2023,A,UNESCO UIS,
BWA,Botswana,adol_fert,45.0,45.0,45.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
BWA,Botswana,child_labour,9.0,8.1,9.9,2023,B,ILO/UNICEF,
BWA,Botswana,child_marriage,8.0,8.0,8.0,2023,A,UNICEF; DHS/MICS,
BWA,Botswana,electricity,72.0,72.0,72.0,2023,A,World Bank / IEA,
BWA,Botswana,hlo,398.47,386.52,410.42,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
BWA,Botswana,homicide,15.0,15.0,15.0,2023,A,UNODC,
BWA,Botswana,internet,73.0,73.0,73.0,2023,A,ITU / World Bank,
BWA,Botswana,ladder,3.5,2.8,4.2,2023,C,Gallup World Poll via World Happiness Report,
BWA,Botswana,lsec_comp,70.0,70.0,70.0,2023,A,UNESCO UIS,
BWA,Botswana,mobile_bb,80.0,72.0,88.0,2023,B,ITU,
BWA,Botswana,neet,30.0,28.5,31.5,2023,B,ILOSTAT / national LFS (PLFS for India),
BWA,Botswana,neet_gap,10.0,9.5,10.5,2023,B,Derived from ILOSTAT / national LFS,
BWA,Botswana,stunting,24.0,22.56,25.44,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
BWA,Botswana,suicide,15.0,15.0,15.0,2023,A,WHO Global Health Estimates; NCRB for India,
BWA,Botswana,u5mr,39.0,39.0,39.0,2023,A,UN IGME,
BWA,Botswana,water,90.0,90.0,90.0,2023,A,WHO/UNICEF JMP,
BWA,Botswana,y_unemp,25.0,23.75,26.25,2023,B,ILOSTAT,
BWA,Botswana,youth_lit,98.0,98.0,98.0,2023,A,UNESCO UIS,
BRA,Brazil,adol_fert,42.0,42.0,42.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
BRA,Brazil,child_labour,4.0,3.6,4.4,2023,B,ILO/UNICEF,
BRA,Brazil,child_marriage,26.0,26.0,26.0,2023,A,UNICEF; DHS/MICS,
BRA,Brazil,electricity,100.0,100.0,100.0,2023,A,World Bank / IEA,
BRA,Brazil,hlo,408.76,396.5,421.02,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
BRA,Brazil,homicide,22.0,22.0,22.0,2023,A,UNODC,
BRA,Brazil,internet,84.0,84.0,84.0,2023,A,ITU / World Bank,
BRA,Brazil,ladder,6.27,5.02,7.52,2023,C,Gallup World Poll via World Happiness Report,
BRA,Brazil,lsec_comp,73.0,73.0,73.0,2023,A,UNESCO UIS,
BRA,Brazil,mobile_bb,95.0,85.5,104.5,2023,B,ITU,
BRA,Brazil,neet,24.3,23.09,25.52,2023,B,ILOSTAT / national LFS (PLFS for India),
BRA,Brazil,neet_gap,12.0,11.4,12.6,2023,B,Derived from ILOSTAT / national LFS,
BRA,Brazil,stunting,7.0,6.58,7.42,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
BRA,Brazil,suicide,6.4,6.4,6.4,2023,A,WHO Global Health Estimates; NCRB for India,
BRA,Brazil,u5mr,13.6,13.6,13.6,2023,A,UN IGME,
BRA,Brazil,water,98.0,98.0,98.0,2023,A,WHO/UNICEF JMP,
BRA,Brazil,y_unemp,18.0,17.1,18.9,2023,B,ILOSTAT,
BRA,Brazil,youth_lit,99.0,99.0,99.0,2023,A,UNESCO UIS,
BGR,Bulgaria,adol_fert,39.0,39.0,39.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
BGR,Bulgaria,child_labour,1.0,0.9,1.1,2023,B,ILO/UNICEF,
BGR,Bulgaria,child_marriage,3.0,3.0,3.0,2023,A,UNICEF; DHS/MICS,
BGR,Bulgaria,electricity,100.0,100.0,100.0,2023,A,World Bank / IEA,
BGR,Bulgaria,hlo,490.67,475.95,505.39,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
BGR,Bulgaria,homicide,1.1,1.1,1.1,2023,A,UNODC,
BGR,Bulgaria,internet,84.0,84.0,84.0,2023,A,ITU / World Bank,
BGR,Bulgaria,ladder,5.37,4.3,6.44,2023,C,Gallup World Poll via World Happiness Report,
BGR,Bulgaria,lsec_comp,87.0,87.0,87.0,2023,A,UNESCO UIS,
BGR,Bulgaria,mobile_bb,100.0,90.0,110.0,2023,B,ITU,
BGR,Bulgaria,neet,18.0,17.1,18.9,2023,B,ILOSTAT / national LFS (PLFS for India),
BGR,Bulgaria,neet_gap,6.0,5.7,6.3,2023,B,Derived from ILOSTAT / national LFS,
BGR,Bulgaria,stunting,7.0,6.58,7.42,2023,A,UNICEF/WHO/World Bank JME (NFHS-5 for India),
BGR,Bulgaria,suicide,8.0,8.0,8.0,2023,A,WHO Global Health Estimates; NCRB for India,
BGR,Bulgaria,u5mr,6.0,6.0,6.0,2023,A,UN IGME,
BGR,Bulgaria,water,99.0,99.0,99.0,2023,A,WHO/UNICEF JMP,
BGR,Bulgaria,y_unemp,12.0,11.4,12.6,2023,B,ILOSTAT,
BGR,Bulgaria,youth_lit,98.0,98.0,98.0,2023,A,UNESCO UIS,
BFA,Burkina Faso,adol_fert,110.0,110.0,110.0,2023,A,UN Population Division / World Bank SP.ADO.TFRT,
BFA,Burkina Faso,child_labour,26.0,23.4,28.6,2023,B,ILO/UNICEF,
BFA,Burkina Faso,child_marriage,52.0,52.0,52.0,2023,A,UNICEF; DHS/MICS,
BFA,Burkina Faso,electricity,20.0,20.0,20.0,2023,A,World Bank / IEA,
BFA,Burkina Faso,hlo,296.88,287.97,305.79,2023,B,"Altinok, Angrist & Patrinos (2018) / World Bank HLO",
BFA,Burkina Faso,homicide,5.0,5.0,5.0,2023,A,UNODC,
BFA,Burkina Faso,internet,25.0,25.0,25.0,2023,A,ITU / World Bank,
BFA,Burkina Faso,ladder,4.6,3.68,5.52,2023,C,Gallup World Poll via World Happiness Report,
BFA,Burkina Faso,lsec_comp,30.0,30.0,30.0,2023,A,UNESCO UIS,
BFA,Burkina Faso,mobile_bb,25.0,22.5,27.5,2023,B,ITU,
